Nome,Descoberta,Ano,UF,Classe,Tipo,Massa
Angra dos Reis ,Queda observada,1869,RJ,Angrito,Rochoso,"1,5"
Arraias,Achado,2015,TO,IIAB,Metálico,25
Avanhandava,Queda observada,1952,SP,H4,Rochoso,"9,33"
Balsas,Achado,1974,MA,IIIAB,Metálico,41
Barbacena,Achado,1918,MG,ungrouped ,Metálico,"9,03"
Bendegó,Achado,1784,BA,IC,Metálico,5360
Blumenau,Achado,1986,SC,IVA,Metálico,NA
Bocaiuva ,Achado,1965,MG,ungrouped ,Metálico,64
Buritizal,Queda observada,1967,SP,LL3.2,Rochoso,"0,21"
Caçapava do Sul,Achado,NA,RS,IID,Metálico,27
Cacilandia,Achado,NA,NA,H6,Rochoso,NA
Campinorte,Achado,1992,GO,ungrouped ,Metálico,2000
Campos Sales,Queda observada,1991,CE,L5,Rochoso,"23,68"
Capão do Leão,Achado,2019,RS,L5,Rochoso,"0,21"
Casimiro de Abreu,Achado,1947,RJ,IIIAB,Metálico,25
Castanheiras,Achado,2017,RO,ungrouped ,Metálico,"1,162"
Conceicao do Tocantins,Achado,2021,TO,IIAB,Metálico,"0,449"
Conquista,Queda observada,1965,MG,H4,Rochoso,"20,35"
Cratheús (1931),Achado,1914,CE,IVA,Metálico,"27,5"
Cratheús (1950),Achado,1909,CE,IIC,Metálico,"0,367"
Cruz Alta,Achado,2008,RS,IIAB,Metálico,48
Faina,Achado,2011,GO,IAB complex,Metálico,"0,44"
Governador Valadares,Achado,1958,MG,Nakhlito,Rochoso,"0,158"
Hermenegildo,Achado,2004,RS,H5,Rochoso,"0,3"
Ibitira,Queda observada,1957,MG,Eucrito,Rochoso,"2,5"
Iguaracu,Queda observada,1977,PR,H5,Rochoso,"1,2"
Indianópolis,Achado,1989,MG,IIAB,Metálico,"14,85"
Ipiranga,Queda observada,1972,PR,H6,Rochoso,7
Ipitinga,Achado,1989,PA,H5,Rochoso,7
Itapicuru-Mirim,Queda observada,1879,MA,H5,Rochoso,"2,02"
Itapuranga,Achado,NA,GO,IAB-MG,Metálico,628
Itutinga,Achado,1960,MG,IIIAB,Metálico,"3,2"
Lavras do Sul,Achado,1985,RS,L5,Rochoso,1
Macau,Queda observada,1836,RN,H5,Rochoso,"1,5"
Mafra,Queda observada,1941,SC,L3-4,Rochoso,"0,6"
Maria da Fé,Achado,1987,MG,IVA,Metálico,18
Marilia,Queda observada,1971,SP,H4,Rochoso,"2,5"
Minas Gerais,Achado,1888,MG,L6,Rochoso,"1,224"
Minas Gerais (b),Achado,2001,MG,H4,Rochoso,"0,426"
Montes Claros de Goias,Achado,2018,GO,H5,Rochoso,"14,92"
Morro do Rocio,Achado,1928,SC,H5,Rochoso,"0,369"
Nossa Senhora do Livramento,Achado,2016,MT,IIIAB,Metálico,"1,12"
Nova Petropolis,Achado,1967,RS,IIIAB,Metálico,305
Palmas de Monte Alto,Achado,1954,BA,IIIAB,Metálico,97
Para de Minas,Achado,1934,MG,IVA,Metálico,"116,3"
Paracutu,Achado,1980,NA,IAB complex,Metálico,NA
Parambu,Queda observada,1967,CE,LL5,Rochoso,2
Paranaiba,Queda observada,1956,MS,L6,Rochoso,100
Parauapebas,Queda observada,2013,PA,H4-5,Rochoso,"0,272"
Patos de Minas (hexahedrite),Achado,1925,MG,IIAB,Metálico,32
Patos de Minas (octahedrite),Achado,1925,MG,IAB complex,Metálico,200
Patrimonio,Queda observada,1950,MG,L6,Rochoso,"2,12"
Piedade do Bagre,Achado,1922,MG,ungrouped ,Metálico,59
Pirapora,Achado,1888,MG,IIAB,Metálico,"6,18"
Pontes e Lacerda,Achado,2013,MT,IIIAB,Metálico,"0,224"
Porangaba,Queda observada,2015,SP,L4,Rochoso,"0,976"
Porto Alegre,Achado,2005,RS,IIIE,Metálico,200
Putinga,Queda observada,1937,RS,L6,Rochoso,300
Quijingue,Achado,1984,BA,Palasito,Misto,59
Rio do Pires,Achado,1991,BA,L6,Rochoso,"0,118"
Rio Negro,Queda observada,1934,PR,L4,Rochoso,"1,31"
Sanclerlandia,Achado,1971,GO,IIIAB,Metálico,279
Santa Barbara,Queda observada,1873,RS,L4,Rochoso,"0,4"
Santa Catharina,Achado,1875,SC,IAB ung,Metálico,7000
Santa Filomena,Queda observada,2020,PE,H5-6,Rochoso,80
Santa Luzia,Achado,1921,GO,IIAB,Metálico,1920
Santa Vitoria do Palmar,Queda observada,2003,RS,L3 ,Rochoso,"50,4"
Santo Antônio do Descoberto,Achado,2011,GO,IIAB,Metálico,"52,15"
São João Nepomuceno,Achado,1960,MG,IVA,Metálico,"15,3"
São Jose do Rio Preto,Queda observada,1962,SP,H4,Rochoso,"0,927"
Sapopema,Achado,2010,PR,IVA,Metálico,12
Serra de Magé,Queda observada,1923,PE,Eucrito,Rochoso,"1,8"
Serra Pelada,Queda observada,2017,PA,Eucrito,Rochoso,12
Sete Lagoas,Queda observada,1908,MG,H4,Rochoso,"0,35"
Socorro,Achado,2020,PE,Shergottite ,Rochoso,"4,47"
Soledade,Achado,1986,RS,IAB-MG,Metálico,68
Tiros,Queda observada,2020,MG,Eucrito,Rochoso,"0,4"
Tres Irmaos,Queda observada,2017,BA,L6,Rochoso,"0,89"
Ubá,Achado,1960,MG,H5,Rochoso,"0,0845"
Uberaba,Queda observada,1903,MG,H5,Rochoso,40
Uruaçu,Achado,1992,GO,IAB-MG,Metálico,"72,5"
Varre-Sai,Queda observada,2010,RJ,L5,Rochoso,"2,5"
Verissimo,Achado,1965,MG,IIIAB,Metálico,14
Vicência,Queda observada,2013,PE,LL3.2,Rochoso,"1,54"
Vitoria da Conquista,Achado,2007,BA,IVA,Metálico,"10,5"